"scopes","question","answer"
"English","dump","куча (программир.); класть, ставить (небрежно); сваливать, выбрасывать; хоронить"
"English","maintain","поддерживать, сохранять; обслуживать; удерживать, защищать; содержать; утверждать"
"English","opportunity","шанс, возможность"
"English","prefer","предпочитать; оказывать поддержку; способствовать; продвигать; выдвигать (обвинение)"
"English","ambiguous","двусмысленный, сомнительный, неопределенный"
"English","ascend","подниматься, восходить"
"JavaScript","Что будет в параметрах function в таком выражении\n\ns.replace(regexp, function)","Первым параметром всегда является полная совпавшая подстрока. Далее будут параметры соответствующие совпадениям в круглых скобках regexp, предпоследним параметром будет позиция на которой произошло совпадение, последним - исходная строка s."
"English","gathering","уборка (хлеба); сборка; комплектование; собрание (встреча); комплект одежды"
"JavaScript","наследуются ли статические свойства и методы класса ?","да"
"English","appropriate","уместный, надлежащий, адекватный"
"JavaScript (промисы)","Каким условиям должна удовлетворять функция чтобы внутри неё можно было использовать ключевое слово 'await' ?","Должна быть помечена ключевым словом 'async'"
"English","chore","рутинная работа"
"English","approach","ГЛ. подходить, подступать; обращаться (с просьбой); СУЩ. приближение; наступление; подъезд, подступ; заход на посадку (авиа.)"
"English","simply put","Проще говоря"
"English","term","срок; длительность; термин; элемент; понятие; условия соглашения; называть, обозначать; выражать"
"English","adjacent","смежный, соседний"
"English","assume","предполагать, допускать, принимать, брать на себя (ответственность), обретать (форму) "
"English","seldom","редко, изредка"
"English","legacy","наследие, достояние, завещание"
"English (Sentences)","I {suppose} she has beautiful legs.","Я {думаю} она имеет красивые ноги"
"English","{behave}","вести себя, поступать, держаться"
"JavaScript (промисы)","Как называют функцию которая передаётся в конструктор промиса? \n\nnew Promise(function(resolve, reject){ ... })","исполнитель, executor"
"English","perhaps","возможно (пример - возможно это было...)"
"JavaScript","Что вернет метод /(a)(b)/.exec('ababab'); ? Каковы будут свойства того что будет возвращено?","Вернет массив. Этот массив будет соответствовать первой паре ab из исходной строки ababab. Первым элементом массива будет все совпадение - ab. В последующих элементах массива будет то что соответствует круглым скобкам, в данном случае во 2-м элементе будет 'a', а в 3-м будет 'b'."
"English","satisfy","удовлетворять чему-либо"
"English (Sentences)","I mean, I {tried} selling them to armed forces.","Я имею в виду, я {пытался} продавать их в вооруженные силы."
"English","careful","осторожный, тщательный"
"English","raise","поднимать; будить; воскрешать; вызывать, провоцировать; вдохновлять; повышать, увеличивать; растить; собирать (финансы); снимать (запрет)"
"English (Sentences)","But... tell your wife I {tried} to listen.","Но... скажи своей жене, что я {пытался} тебя выслушать."
"JavaScript","В чем разница между typeof operand и typeof (operand)","Ни в чем, идентичны"
"English","fall","падение, упасть"
"English","consecutive","последовательный"
"English (PRG)","Statement","Инструкция\n\nОтдельный кусок кода"
"English","reliability","надежность; достоверность"
"English","advantage","СУЩ. преимущество; польза. ГЛ. способствовать; давать преимущество"
"JavaScript","что содержится в переменной которой не присваивалось значение?","undefined"
"English","wasted","растраченный понапрасну, истощенный"
"JavaScript","Что вернет 'aabbcc'.indexOf('b');","2 (индекс буквы b, поиск с начала строки)"
"English","leverage","сила, рычаг (для достижения цели), использовать (с выгодой)"
"English","no-op","пустой оператор, холостая команда"
"English","unless","Союз: если не, если только не, пока не. Предлог: за исключением, кроме"
"English","retrieve","Извлекать. Возвращать"
"English","enhance","увеличивать, улучшать, дорожать"
"English","even","даже, плоский, ровный, четный, выравнивать, вечер"
"English","issue","выпуск (продукции); издание (журналов); выходной канал; потомство; исход, результат, плод; спорный вопрос; проблема; дело; тема; пункт; вытекать, выходить; появляться; кончаться (чем-либо); задача (в программировании)"
"English","embed","вставлять, врезать; внедрять"
"English","although","хотя, если бы даже; несмотря на то, что"
"English","through","через, сквозь; в течение, в продолжение; посредством; совершенно (промокший); безпрепятственный, свободный"
"English","entirely","вполне, всецело, полностью, совершенно, совсем"
"English","turn","поворачивать; вращать; переворачивать; загибать; обходить; отправлять; точить; направлять (на что-л.); turn+прилаг. - делаться, становиться"
"English","either","любой; оба; каждый; также, тоже (в отриц. предложениях); или (или ... или ...)"
"English","ourselves","себя, себе, собой; сами"
"English","(...) ...that it does not have to do anything.","...что не нужно ничего делать."
"English","(...) This is so the code...","Это такой код..."
"English","(...) ...that watches for focus changes...","...который отслеживает изменение фокуса..."
"English","traversal","просмотр-обход; обход (проход); прослеживание, прохождение"
"English","yet","ещё, всё ещё, пока что; когда-либо, когда-нибудь; уже (в вопросительных предложениях), пора; ещё, вдобавок; СОЮЗ однако, тем не менее;"
"English","dirty","ПРИЛ. грязный, запачканый; непристойный; злостный; тусклый (о цвете); ненастный (о погоде); ГЛ. загрязнять, пачкать"
"English","fling","ГЛ. бросаться, кидаться; бросать, метать; СУЩ. бросок"
"English","sentinel","СУЩ. часовой, страж; ГЛ. охранять, стоять на страже"
"English","duration","длина, длительность, продолжительность"
"English","contrary","СУЩ. противоположность; ПРИЛ. обратный, противоположный; неблагоприятный; упрямый; ДОП. вопреки"
"English","revert","ГЛ. возвращаться (к чему-л.); (устн.) обращать назад (взгляд)"
"English","gutter","СУЩ. канавка, бороздка; сточная канава; дно (общества); ГЛ. вымывать канавки; стекать; угасать (о пламени)"
"English","layout","СУЩ. планировка; разметка; макет; (америк. разг.) группа (людей)"
"English","rest","ГЛ. отдыхать; давать покой; покоиться; оставаться неподвижным; оставаться спокойным; класть, прислонять; (юр.) отзывать иск; СУЩ. покой, отдых, сон; смерть; перерыв; остаток, остальное"
"English","rest in","возлагать на (кого-л. ответственность и т.п.)"
"English","rest on/with","быть возложенным, лежать на (ком-либо; об ответственности, вине и т.п.)"
"English","rest (up)on/in","держаться, основываться, опираться"
"English","pull","ГЛ. тянуть, тащить; натягивать, растягивать; дергать; СУЩ. тяга, рывок"
"English","dispatch","СУЩ. отправка, отсылка; казнь; быстрота, скорость; выполнение (какой-л. работы); донесение; депеша; ГЛ. увольнять"
"English","emit","ГЛ. испускать, излучать, выделять (свет и т.д.); выбрасывать (пепел напр.); издавать (звук напр.)"
"English","consume","ГЛ. тратить; расходовать; уничтожать (обычно об огне); съедать; изнашивать"
"English","remember","ГЛ. помнить; вспоминать; вознаграждать; завещать"
"English","means to do so","средства (необходимые средства)"
"English","sustained","ПРИЛ. устойчивый, продолжительный; непрерывный; (физ.) незатухающий"
"English","[eg] или e.g.","например"
"English","carry","ГЛ. нести, носить; вести (силой); содержать, нести в себе; иметь (какие-л. свойства); сообщать, распространять; СУЩ. транспортное средство"
"English","carry over","везти, возить, перевозить"
"English","carry about","иметь при себе, носить с собой"
"English","carry weight","иметь вес, влияние"
"English","carry a price","иметь цену; стоить денег"
"English","carry away/off","выиграть, одержать победу"
"English","carry along","увлекать за собой, вести"
"English","carry down","передавать, оставлять потомкам"
"English","carry forward","продвигать; приносить успех"
"English","carry off","похищать; захватывать; свести в могилу; (разг.) выдержать, вынести; (разг.) успешно закончить, выполнить; извинять"
"English","carry on","продолжать; вести (дело)"
"English","carry out","выполнять, осуществлять; приводить в исполнение"
"English","carry through","осуществлять, доводить до конца; помогать, поддерживать (в трудную минуту)"
"English","carry up","строить, сооружать"
"English","carry to extremes","доводить до крайности"
"English","carry all before one","преодолевать все препятствия; выйти победителем"
"English","eventual","возможный, могущий случиться; конечный, окончательный"
"English","willingness","доступность"
"English","nor","также не, тоже не; ни ..., ни ...; не ..., не ..."
"English","vice versa","наоборот; с другой стороны..."
"English","therefore","по этой причине; вследствие этого; поэтому, следовательно"
"English","so far","до сих пор; пока; до настоящего времени"
"English","give up","оставить, отказаться; бросить (что-л.)"
"English","insight","СУЩ. проницательность"
"English","insight into","понимание, догадка, (внезапное) озарение, проникновение в суть"
"English","on behalf of","от лица, от имени (кого-л.)"
"English","in behalf of","для, ради; в интересах, в пользу, в защиту (кого-л.)"
"English","reachable","досягаемый, достижимый; доступный"
"English","threshold","порог, пороговая величина; предверие, отправной пункт, канун, начало;"
"English","immediately","прямо, непосредственно; немедленно; как только"
"English","disambiguation","устранение противоречий; устранение неоднозначности; разрешение конфликтов"
"English","inclusion","включение (в состав)"
"English","glance","бросить взгляд; взглянуть мельком, одним глазом; едва заметить; блескнуть, сверкнуть; скользнуть, отскочить"
"English","unlike","разный, отличный; неравный, неравноценный; нехарактерный, нетипичный; в отличие от"
"English","generally","обычно, как правило; в целом; в общем смысле, вообще; в большинстве случаев, большей частью"
"English","still","ПРИЛ. бесшумный, тихий; неподвижный; СУЩ. тишина;  ГЛ. успокаиваться; успокаивать; НАРЕЧ. до сих пор, (всё) ещё, однако; ещё (ближе напр.); кроме того"
"English","Pros:...","Преимущество:..., За:..."
"English","Cons:...","Против:..."
"English","expose","делать видимым, обнажать; знакомить (с музыкой напр.)"
"English","wish","ГЛ. желать, хотеть; СУЩ. желание; просьба;"
"English","wish on","навязывать (кому-л.)"
"English","hint","СУЩ. подсказка; намёк; совет; шанс (устн.); ГЛ. намекать"
"English","leave","СУЩ. позволение, разрешение; объезд, уход; отправление, отход; расставание, прощание; ГЛ. покидать; уезжать, переезжать; оставлять (след напр.); забывать; оставить (после себя напр.); разрешать, позволять"
"English","cite","ГЛ. ссылаться (на что-л.); цитировать; вызывать в суд (юр.); созывать, призывать"
"English","route","СУЩ. дорога, путь; шоссе; курс, направление; маршрут, путь следования ГЛ. прокладывать маршрут; направлять (по маршруту); намечать, распределять"
"English","their","их; свой;"
"English","ancestor","прародитель, предок; (юр.) предшествовавший владелец; прототип, прообраз"
"English","once more","ещё раз"
"English","opaque","/непрозрачный/ ПРИЛ. непрозрачный; непроницаемый, темный; тусклый, без блеска; глупый; СУЩ. темнота, мрак"
"English","ajust","/подгонять/ ГЛ. приводить в порядок; подгонять, пригонять; приспосабливаться, привыкать; регулировать; настривать"
"English","worth","СУЩ. ценность, значение; достоинство; цена, стоимость; состояние, доход; запас (чего-л.); ГЛ. УСТ. случаться, происходить; становиться; следовать, надлежать"
"English","enough","ПРИЛ. достаточный; СУЩ. достаточное количество; НАРЕЧ. довольно, достаточно"
"English","notion","СУЩ. идея, представление, понятие, знание; взгляд, мнение; упоминание; намерение; (устн.) изобретение"
"English","forbid","запрещать; не позволять; препятствовать"
"English","pending","ПРИЛ. незаконченный, ожидающий решения; надвигающийся, близкий; ПРЕДЛ. в продолжение; в течение; (вплоть) до; в ожидании, ожидая"
"English","i.e.","то есть"
"English","farther","ПРИЛ. отдаленный, удаленный; дальнейший; дополнительный; НАРЕЧ. сверх того, кроме того, помимо"
"English","extent","СУЩ. пространство, протяжение, расстояние; объем; мера, степень, рамки, пределы; размер, величина"
"English","deal","СУЩ. некоторое количество; сделка, соглашение, договор; обращение, обхождение; ГЛ. распределять; раздавать, выдавать; наносить (удар); СУЩ. доска; древесина"
"English","deal in","покупать и продавать, торговать"
"English","deal with","рассматривать (жалобу, проблему); заниматься (решением проблемы);"
"English","deal with / by","иметь дело (с кем-л.); обходиться с (кем-л.)"
"English","deal with (разг.)","справляться с (ситуацией); наказывать (кого-л.)"
"English","render","ГЛ. отдавать, платить; оказывать услугу, помощь; приводить в какое-л. состояние; исполнять (произведение); представлять, изображать, выводить; СУЩ. плата, оплата; оказание услуги; нижний слой штукатурки"
"English","render into","переводить (на другой язык)"
"English","render up","сдаваться, выбрасывать белый флаг"
"English","as well","также, тоже; с таким же успехом"
"English","allocate","ГЛ. назначать; распределять; размещать; располагать в определенном месте"
"English","spatial","ПРИЛ. пространственный; занимающий какое-л. пространство; ощущающий, воспринимающий пространство"
"English","intercept","ГЛ. служить помехой, препятствием; перехватить (сигнал); прерывать, выключать; (мат.) пересечение"
"English","anyway","НАРЕЧ. как бы то ни было, во всяком случае; в любом случае; как попало, кое-как"
"English","treat","ГЛ. обращаться, обходиться, вести себя (по отношению к кому-л.); относиться (к кому-л. каким-л. образом); обрабатывать, подвергать действию; иметь дело (с кем-л.), договариваться, вести переговоры; обсуждать, рассматривать (проблему напр.); угощать; развлекать; удостаивать (взгляда, улыбки); лечить  СУЩ. удовольствие; наслаждение; угощение"
"English","they","они (о людях, животных, предметах); люди (вообще), кто-то; (устн.) те (кто)"
"English","facilitate","ГЛ. облегчать; содействовать; способствовать; помогать, продвигать"
"English","decay","ГЛ. гнить, разлагаться; разрушаться; угасать, расстраиваться;"
"English","in turn","по очереди"
"English","circumstance","обстоятельство; случай; условие; материальное положение; деталь, подробность, частность; ритуал, церемония"
"English","facilities","средства обслуживания; оборудование; сооружения; устройства; условия (для работы напр.)"
"English","acquire","обзаводиться, приобретать; получать; овладевать"
"English","fetch","ГЛ. принести, достать; сходить (за кем-л.), позвать; приглашать; достигать, добиваться; приносить доход, зарабатывать; (мор.) достигать берега; (разг.) нравиться, приносить удовольствие; (разг.) ударить, бить СУЩ. принесение (чего-л.); усилия, тяжкие труды, напряжение; уловка, хитрость; вздох, вдох; удушье; (тех.) выборка, вызов"
"English","indeed","1. в самом деле, действительно; конечно, несомненно; фактически; 2. даже, более того 3. безусловно"
"English","other things being equal","при прочих равных услових"
"English","dispose","располагать, размещать, расставлять, определять, предопределять, склонять"
"English","essentially","по существу, существенным образом, чрезвычайно"
"English","assets","активы, имущество, средства, ресурсы"
"English","conversation","разговор, беседа"
"English","scared","испуганный"
"English","politely","вежливо, любезно"
"English","dangling","висящий, свисающий, обособленный"
"English","obsolete","устаревший"
"English","evolve","развиваться, эволюционировать, меняться"
"English","over time","со временем"
"English","consumption","потребление, использование"
"English","convenient","удобство"
"English","meaningful -","значимый; выразительный"
"English","best-effort basis","с учётом имеющихся возможностей"
"English","effort","усилие, попытка, напряжение"
"English","tradeoff","компромисс"
"English","threshold","порог"
"English","amid","среди, между"
"English","utterance","высказывание"
"English","fraud","мошеничество, подделка, обман, обманщик"
"English","investigate","исследование, расследование"
"English","recognizer","распознаватель"
"English","kindly","приятный, милый, дружелюбный; хороший (о климате); сердечно, вежливо, любезно; легко, без напряжения; естественным образом"
"English","{tried}","{пытался}; надежный, проверенный, испытанный"
"English","truncate","усечённый; усекать; укорачивать; сокращать; калечить; округлять; отбрасывать (числа)"
"English","restrict","ограничивать"
"English","propagation","воспроизведение, размножение; распространение (идей)"
"English","consistency","соответствие; логичность, связность; стойкость, устойчивость; прочность, постоянство; слаженность, взаимодействие "
"English","properly","должным образом; как следует; правильно; пристойно; собственно, строго говоря; по сути; существенным образом; прекрасно (разг.); вполне"
"English","durability","продолжительность, длительность; долговечность; срок службы; прочность; износостойкость (техн.)"
"English","become","становиться, делаться; случаться; годиться, подходить; хорошо выглядеть"
"English","{suppose}","предполагать, полагать"
"English","narrow","узкий, тесный, ограниченный"
"English","slightly","мало, незначительно, несущественно"
"English","every","каждый, всякий"
"English","teammates","товарищи по команде, соратники"
"English (Sentences)","I {suppose} you think that was terribly clever.","{Полагаю}, ты считаешь, что это было очень забавно."
"English","thereby","(книжн.) таким образом, посредством этого; (устн.) около"
"English","salary","зарплата"
"English","fulfill","выполнять, исполнять"
"English","aware","Знающий. Осведомленный. Сознающий"
"English","though","хотя, несмотря на, даже, если бы, тем не менее"
"JavaScript","Что делает данная конструкция .replace(regexp/string, function)","function вызывается при каждом совпадении regexp/string. Тем что вернет function будет заменено совпадение. "
"English","implicit","Неявный"
"JavaScript (промисы)","Опишите сигнатуру функции .then()","Этой функции передаётся 2 параметра. \nПервый - это функция, которая будет вызвана в случае успешного завершения промиса, как параметр ей передаётся результат промиса. \nВторой - это тоже функция, она вызывается в случае ошибки промиса, как параметр ей передаётся (как правило) объект ошибки."
"English","omit","пропустить, исключить, опустить из рассмотрения"
"English","enforced","навязывать, принуждать, проводить в жизнь"
"English","neither","никакой, ни тот ни другой, также не"
"English","impose","класть, помещать, фиксировать в определенном положении; возлагать; налагать (ограничения)"
"English","purpose","СУЩ. цель, намерение; замысел, стремление; польза, выгода; предмет (обсуждения); воля, целеустремленность; ГЛ. намереваться; предлагать, вносить предложение"
"English","attempt","пытаться, стараться, пробовать; соблазнять (уст.); попытка"
"Node.js","вопрос51","ответ51"
"Node.js","вопрос61","ответ6"
"English","care","забота, уход, внимание, беспокоиться, заботиться"
"GraphQL","что","ничего"
"English","condition","состояние, положение; обстоятельства, условия; ГЛ. обусловливать, определять"
"English","intend","намереваться, планировать, значить, иметь в виду"
"English","devise","разрабатывать, продумывать"
"English","delightful","восхитительный, очаровательный"
"English","probably","вероятно, наверное"
"English","take","брать; захватывать; ловить; хватать; принимать (форму); выполнять (функции); впитывать; воспринимать; думать; верить; применять; соглашаться; идти"
"English","certain","отдельный; точный, определенный; некий; некто; уверенный, убежденный; верный, надежный"
"English","suspended","приостановленный"
"English","unfortunately","К сожалению"
"English","relieving","разгрузка, облегчение"
"English","oversight","Надзор, недосмотр, оплошность"
"English","accomplish","совершать, выполнять; достигать"
"English","tedious","утомительный"
"English","distinct","ПРИЛ. отдельный; особый, индивидуальный; отличный; внятный, четкий; отмеченный (чем-л.)"
"English","obtain","получать; добывать; существовать; применяться; иметь место; достигать"
"JavaScript","Когда выполняется часть default конструкции switch","Если 1) не было совпадения ни с одним case; 2) совпадения case были, но break не вызывался"
"JavaScript (промисы)","Когда выполняется функция-executor промиса?","Она выполняется автоматичесчки в момент создания промиса."
"English","reject","отвергать, отклонять"
"JavaScript (промисы)","Опишите сигнатуру функции передаваемую в конструктор промиса:\n\nnew Promise(function) ...","function(resolve, reject){\n   ...\n}"
"English (Sentences)","Not until you learn to {behave}.","Не раньше чем ты научишься {вести себя}"
"English (Sentences)","They {behave} both like particles and waves.","Они {ведут себя} одновременно и как частицы и как волны"
"JavaScript","Что делает оператор typeof [typeof operand]","Возвращает тип операнда в виде строки"
"English","arbitrary ","произвольный, случайный"
"English","conjunction","связывание, сцепление, соединение; совпадение (во времени); перекресток; союз (лингв.)"
"English","since","с тех пор; тому назад; позднее; с тех пор как; так как; когда (что-то произошло, устн.)"
"English","rather","скорее, лучше, охотнее, предпочтительнее;  весьма; наоборот; (разг.) конечно да!"
"JavaScript","Что будет в массиве filteredNumbers ?\n\nvar numbers = [1, 2, 3, 4];\nvar filteredNumbers = numbers.map(function(num, index) {\n  if(index < 3) {\n     return num;\n  }\n});","[1, 2, 3, undefined]\n\nсм. https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/map#Mapping_array_have_undefined"
"English","affinity","близость, родство"
"English (PRG)","Clause","Выражение"
"JavaScript (промисы)","Перечислите возможные состояния промиса и что они означают.","1. pending - это состоние когда промис запущен, но еще не перешёл в сотояние fulfilled или rejected;\n2. fulfilled - состояние означающее что промис завершен успешно;\n3. rejected - состояние означающее что промис был завершён с ошибкой;"
"JavaScript (промисы)","Верно ли что состояние промиса может быть изменено только один раз?","да, верно. Любые последующие вызовы функций resolve и reject игнорируются если они уже вызывались единожды."
"English","ensure","гарантировать, обеспечивать; затраховаться; удостовериться, убедиться"
"English","capable","ПРИЛ. способный на что-л.; одаренный; поддающийся чему-л., допускающий что-л.; просторный, вместительный"
"English","i mean","я имею в виду"
"JavaScript","Что вернет 'aabbcc'.indexOf('c', 2);","4 (индекс буквы b, поиск начинается с индекса 2 строки)"
"English","feared","Опасаться. Бояться"
"English","increase","возрастание, увеличение"
"English","sufficient","достаточный; обоснованный"
"English","violation","Нарушение, насилие, осквернение"
"JavaScript","Что вернет 'aabbcc'.indexOf('d');","-1 (буква d не найдена в строке)"
"English","regardless","НАРЕЧ. безотносительно к чему-либо, невзирая ни на что; ПРИЛ. невнимательный; ничтожный, не стоящий внимания"
"English","tie","лента, узел, связь, взаимодействие, обуза, ограничение, ничья, косичка, завязывать, соединять, отставать "
"English","mess","портить; беспорядок; неприятность; порция; пачкать"
"English","coerce","сдерживать, удерживать силой, принуждать"
"English","feel","Чувствовать. Ощущать"
"English","redundancy","чрезмерность, избыточность"
"JavaScript (промисы)","Главное назначение промисов ?","Для удобной работы с асинхронным кодом"
"JavaScript","Изменяет ли .exec свойства регулярного выражения с которым .exec используется? Если изменяет то как?","Изменяет. Заполняет его информацией о последнем совпадении."
"English","imply","Означать, подразумевать, предполагать"
"English","didicated","предназначенный"
"English","accuracy","правильность, соответствие, точность; тщательность, аккуратность"
"English (PRG)","no-op","пустой оператор, холостая команда"
"English","vulnerability","уязвимость"
"English","ultimately","в конце концов, в конечном счёте"
"English","descend","убывать, спускаться"
"English","persist","ГЛ. сохраняться, продолжать существовать, упорствовать, упорно продолжать; удерживаться, "
"English","dead-end","безвыходный, тупиковый, непослушный"
"English","existance","жизнь, бытие, существование"
"English","whereas","тогда как; несмотря на то что; принимая во внимание, поскольку"
"English","behind","сзади, позади"
"English","hence","Следовательно, поэтому, отсюда"
"English","once","один раз, однажды, когда-то, давний, иногда"
"English","sparse","разреженный, редкий, немногочисленный"
